"","DateTime","site","flow"
"210",2019-10-15 17:00:00,"FW",118.98
"211",2019-10-15 18:00:00,"FW",118.98
"212",2019-10-15 19:00:00,"FW",118.98
"213",2019-10-15 20:00:00,"FW",118.98
"214",2019-10-15 21:00:00,"FW",118.98
"215",2019-10-15 22:00:00,"FW",118.98
"216",2019-10-15 23:00:00,"FW",118.98
"217",2019-10-16 00:00:00,"FW",104.65
"218",2019-10-16 01:00:00,"FW",104.65
"219",2019-10-16 02:00:00,"FW",104.65
"220",2019-10-16 03:00:00,"FW",104.65
"221",2019-10-16 04:00:00,"FW",104.65
"222",2019-10-16 05:00:00,"FW",104.65
"223",2019-10-16 06:00:00,"FW",104.65
"224",2019-10-16 07:00:00,"FW",104.65
"225",2019-10-16 08:00:00,"FW",104.65
"226",2019-10-16 09:00:00,"FW",104.65
"227",2019-10-16 10:00:00,"FW",104.65
"228",2019-10-16 11:00:00,"FW",104.65
"229",2019-10-16 12:00:00,"FW",104.65
"230",2019-10-16 13:00:00,"FW",104.65
"231",2019-10-16 14:00:00,"FW",104.65
"232",2019-10-16 15:00:00,"FW",104.65
"233",2019-10-16 16:00:00,"FW",104.65
"234",2019-10-16 17:00:00,"FW",104.65
"235",2019-10-16 18:00:00,"FW",104.65
"236",2019-10-16 19:00:00,"FW",104.65
"237",2019-10-16 20:00:00,"FW",104.65
"238",2019-10-16 21:00:00,"FW",104.65
"239",2019-10-16 22:00:00,"FW",104.65
"240",2019-10-16 23:00:00,"FW",104.65
"241",2019-10-17 00:00:00,"FW",98.56
"242",2019-10-17 01:00:00,"FW",98.56
"243",2019-10-17 02:00:00,"FW",98.56
"244",2019-10-17 03:00:00,"FW",98.56
"245",2019-10-17 04:00:00,"FW",98.56
"246",2019-10-17 05:00:00,"FW",98.56
"247",2019-10-17 06:00:00,"FW",98.56
"248",2019-10-17 07:00:00,"FW",98.56
"249",2019-10-17 08:00:00,"FW",98.56
"250",2019-10-17 09:00:00,"FW",98.56
"251",2019-10-17 10:00:00,"FW",98.56
"252",2019-10-17 11:00:00,"FW",98.56
"253",2019-10-17 12:00:00,"FW",98.56
"254",2019-10-17 13:00:00,"FW",98.56
"255",2019-10-17 14:00:00,"FW",98.56
