"","date","site","flow"
"294","2019-11-09 21:00:00","goose",56.5
"295","2019-11-09 22:00:00","goose",56.5
"296","2019-11-09 23:00:00","goose",56.5
"297","2019-11-10 00:00:00","goose",56.5
"298","2019-11-10 01:00:00","goose",56.5
"299","2019-11-10 02:00:00","goose",56.5
"300","2019-11-10 03:00:00","goose",56.5
"301","2019-11-10 04:00:00","goose",56.5
"302","2019-11-10 05:00:00","goose",56.5
"303","2019-11-10 06:00:00","goose",56.5
"304","2019-11-10 07:00:00","goose",56.5
"305","2019-11-10 08:00:00","goose",56.5
"306","2019-11-10 09:00:00","goose",53.1
"307","2019-11-10 10:00:00","goose",53.1
"308","2019-11-10 11:00:00","goose",53.1
"309","2019-11-10 12:00:00","goose",53.1
"310","2019-11-10 13:00:00","goose",53.1
"311","2019-11-10 14:00:00","goose",53.1
"312","2019-11-10 15:00:00","goose",53.1
"313","2019-11-10 16:00:00","goose",53.1
"314","2019-11-10 17:00:00","goose",53.1
"315","2019-11-10 18:00:00","goose",53.1
"316","2019-11-10 19:00:00","goose",53.1
"317","2019-11-10 20:00:00","goose",53.1
"318","2019-11-10 21:00:00","goose",53.1
"319","2019-11-10 22:00:00","goose",53.1
"320","2019-11-10 23:00:00","goose",53.1
"321","2019-11-11 00:00:00","goose",53.1
"322","2019-11-11 01:00:00","goose",53.1
"323","2019-11-11 02:00:00","goose",53.1
"324","2019-11-11 03:00:00","goose",51.4
"325","2019-11-11 04:00:00","goose",51.4
"326","2019-11-11 05:00:00","goose",51.4
"327","2019-11-11 06:00:00","goose",51.4
"328","2019-11-11 07:00:00","goose",51.4
"329","2019-11-11 08:00:00","goose",51.4
"330","2019-11-11 09:00:00","goose",51.4
"331","2019-11-11 10:00:00","goose",51.4
"332","2019-11-11 11:00:00","goose",51.4
"333","2019-11-11 12:00:00","goose",51.4
"334","2019-11-11 13:00:00","goose",51.4
"335","2019-11-11 14:00:00","goose",49.8
"336","2019-11-11 15:00:00","goose",49.8
"337","2019-11-11 16:00:00","goose",49.8
"338","2019-11-11 17:00:00","goose",49.8
"339","2019-11-11 18:00:00","goose",49.8
"340","2019-11-11 19:00:00","goose",51.4
"341","2019-11-11 20:00:00","goose",51.4
"342","2019-11-11 21:00:00","goose",49.8
"343","2019-11-11 22:00:00","goose",49.8
"344","2019-11-11 23:00:00","goose",49.8
"345","2019-11-12 00:00:00","goose",49.8
"346","2019-11-12 01:00:00","goose",49.8
"347","2019-11-12 02:00:00","goose",49.8
"348","2019-11-12 03:00:00","goose",49.8
"349","2019-11-12 04:00:00","goose",49.8
"350","2019-11-12 05:00:00","goose",51.4
"351","2019-11-12 06:00:00","goose",51.4
"352","2019-11-12 07:00:00","goose",51.4
"353","2019-11-12 08:00:00","goose",53.1
"354","2019-11-12 09:00:00","goose",53.1
"355","2019-11-12 10:00:00","goose",53.1
"356","2019-11-12 11:00:00","goose",53.1
"357","2019-11-12 12:00:00","goose",53.1
"358","2019-11-12 13:00:00","goose",53.1
"359","2019-11-12 14:00:00","goose",53.1
"360","2019-11-12 15:00:00","goose",53.1
"361","2019-11-12 16:00:00","goose",53.1
"362","2019-11-12 17:00:00","goose",53.1
"363","2019-11-12 18:00:00","goose",53.1
"364","2019-11-12 19:00:00","goose",53.1
"365","2019-11-12 20:00:00","goose",53.1
"366","2019-11-12 21:00:00","goose",53.1
"367","2019-11-12 22:00:00","goose",53.1
"368","2019-11-12 23:00:00","goose",53.1
"369","2019-11-13 00:00:00","goose",53.1
"370","2019-11-13 01:00:00","goose",53.1
"371","2019-11-13 02:00:00","goose",53.1
"372","2019-11-13 03:00:00","goose",53.1
"373","2019-11-13 04:00:00","goose",53.1
"374","2019-11-13 05:00:00","goose",51.4
"375","2019-11-13 06:00:00","goose",51.4
"376","2019-11-13 07:00:00","goose",51.4
"377","2019-11-13 08:00:00","goose",51.4
"378","2019-11-13 09:00:00","goose",51.4
"379","2019-11-13 10:00:00","goose",51.4
"380","2019-11-13 11:00:00","goose",51.4
"381","2019-11-13 12:00:00","goose",51.4
"382","2019-11-13 13:00:00","goose",51.4
"383","2019-11-13 14:00:00","goose",51.4
"384","2019-11-13 15:00:00","goose",51.4
"385","2019-11-13 16:00:00","goose",51.4
"386","2019-11-13 17:00:00","goose",51.4
"387","2019-11-13 18:00:00","goose",51.4
"388","2019-11-13 19:00:00","goose",51.4
"389","2019-11-13 20:00:00","goose",51.4
"390","2019-11-13 21:00:00","goose",51.4
"391","2019-11-13 22:00:00","goose",51.4
"392","2019-11-13 23:00:00","goose",51.4
"393","2019-11-14 00:00:00","goose",49.8
"394","2019-11-14 01:00:00","goose",49.8
"395","2019-11-14 02:00:00","goose",49.8
"396","2019-11-14 03:00:00","goose",48.2
"397","2019-11-14 04:00:00","goose",48.2
"398","2019-11-14 05:00:00","goose",48.2
"399","2019-11-14 06:00:00","goose",48.2
"400","2019-11-14 07:00:00","goose",48.2
"401","2019-11-14 08:00:00","goose",48.2
"402","2019-11-14 09:00:00","goose",46.7
"403","2019-11-14 10:00:00","goose",46.7
"404","2019-11-14 11:00:00","goose",46.7
"405","2019-11-14 12:00:00","goose",46.7
"406","2019-11-14 13:00:00","goose",46.7
"407","2019-11-14 14:00:00","goose",46.7
"408","2019-11-14 15:00:00","goose",NA
"409","2019-11-09 00:00:00","monoc_jug",424
"410","2019-11-09 01:00:00","monoc_jug",424
"411","2019-11-09 02:00:00","monoc_jug",424
"412","2019-11-09 03:00:00","monoc_jug",420
"413","2019-11-09 04:00:00","monoc_jug",420
"414","2019-11-09 05:00:00","monoc_jug",420
"415","2019-11-09 06:00:00","monoc_jug",416
"416","2019-11-09 07:00:00","monoc_jug",416
"417","2019-11-09 08:00:00","monoc_jug",416
"418","2019-11-09 09:00:00","monoc_jug",416
"419","2019-11-09 10:00:00","monoc_jug",416
"420","2019-11-09 11:00:00","monoc_jug",420
"421","2019-11-09 12:00:00","monoc_jug",420
"422","2019-11-09 13:00:00","monoc_jug",424
"423","2019-11-09 14:00:00","monoc_jug",429
"424","2019-11-09 15:00:00","monoc_jug",433
"425","2019-11-09 16:00:00","monoc_jug",433
"426","2019-11-09 17:00:00","monoc_jug",437
"427","2019-11-09 18:00:00","monoc_jug",437
"428","2019-11-09 19:00:00","monoc_jug",433
"429","2019-11-09 20:00:00","monoc_jug",429
"430","2019-11-09 21:00:00","monoc_jug",424
"431","2019-11-09 22:00:00","monoc_jug",424
"432","2019-11-09 23:00:00","monoc_jug",420
"433","2019-11-10 00:00:00","monoc_jug",416
"434","2019-11-10 01:00:00","monoc_jug",416
"435","2019-11-10 02:00:00","monoc_jug",412
"436","2019-11-10 03:00:00","monoc_jug",408
"437","2019-11-10 04:00:00","monoc_jug",404
"438","2019-11-10 05:00:00","monoc_jug",404
"439","2019-11-10 06:00:00","monoc_jug",400
"440","2019-11-10 07:00:00","monoc_jug",396
"441","2019-11-10 08:00:00","monoc_jug",396
"442","2019-11-10 09:00:00","monoc_jug",396
"443","2019-11-10 10:00:00","monoc_jug",392
"444","2019-11-10 11:00:00","monoc_jug",392
"445","2019-11-10 12:00:00","monoc_jug",388
"446","2019-11-10 13:00:00","monoc_jug",388
"447","2019-11-10 14:00:00","monoc_jug",388
"448","2019-11-10 15:00:00","monoc_jug",388
"449","2019-11-10 16:00:00","monoc_jug",388
"450","2019-11-10 17:00:00","monoc_jug",388
"451","2019-11-10 18:00:00","monoc_jug",388
"452","2019-11-10 19:00:00","monoc_jug",384
"453","2019-11-10 20:00:00","monoc_jug",380
"454","2019-11-10 21:00:00","monoc_jug",380
"455","2019-11-10 22:00:00","monoc_jug",376
"456","2019-11-10 23:00:00","monoc_jug",376
"457","2019-11-11 00:00:00","monoc_jug",376
"458","2019-11-11 01:00:00","monoc_jug",376
"459","2019-11-11 02:00:00","monoc_jug",376
"460","2019-11-11 03:00:00","monoc_jug",372
"461","2019-11-11 04:00:00","monoc_jug",368
"462","2019-11-11 05:00:00","monoc_jug",364
"463","2019-11-11 06:00:00","monoc_jug",364
"464","2019-11-11 07:00:00","monoc_jug",364
"465","2019-11-11 08:00:00","monoc_jug",364
"466","2019-11-11 09:00:00","monoc_jug",360
"467","2019-11-11 10:00:00","monoc_jug",360
"468","2019-11-11 11:00:00","monoc_jug",356
"469","2019-11-11 12:00:00","monoc_jug",356
"470","2019-11-11 13:00:00","monoc_jug",356
"471","2019-11-11 14:00:00","monoc_jug",356
"472","2019-11-11 15:00:00","monoc_jug",356
"473","2019-11-11 16:00:00","monoc_jug",356
"474","2019-11-11 17:00:00","monoc_jug",356
"475","2019-11-11 18:00:00","monoc_jug",356
"476","2019-11-11 19:00:00","monoc_jug",356
"477","2019-11-11 20:00:00","monoc_jug",356
"478","2019-11-11 21:00:00","monoc_jug",352
"479","2019-11-11 22:00:00","monoc_jug",352
"480","2019-11-11 23:00:00","monoc_jug",352
"481","2019-11-12 00:00:00","monoc_jug",352
"482","2019-11-12 01:00:00","monoc_jug",352
"483","2019-11-12 02:00:00","monoc_jug",352
"484","2019-11-12 03:00:00","monoc_jug",348
"485","2019-11-12 04:00:00","monoc_jug",348
"486","2019-11-12 05:00:00","monoc_jug",348
"487","2019-11-12 06:00:00","monoc_jug",348
"488","2019-11-12 07:00:00","monoc_jug",348
"489","2019-11-12 08:00:00","monoc_jug",348
"490","2019-11-12 09:00:00","monoc_jug",348
"491","2019-11-12 10:00:00","monoc_jug",348
"492","2019-11-12 11:00:00","monoc_jug",345
"493","2019-11-12 12:00:00","monoc_jug",345
"494","2019-11-12 13:00:00","monoc_jug",345
"495","2019-11-12 14:00:00","monoc_jug",345
"496","2019-11-12 15:00:00","monoc_jug",341
"497","2019-11-12 16:00:00","monoc_jug",341
"498","2019-11-12 17:00:00","monoc_jug",341
"499","2019-11-12 18:00:00","monoc_jug",341
"500","2019-11-12 19:00:00","monoc_jug",341
"501","2019-11-12 20:00:00","monoc_jug",341
"502","2019-11-12 21:00:00","monoc_jug",341
"503","2019-11-12 22:00:00","monoc_jug",341
"504","2019-11-12 23:00:00","monoc_jug",341
"505","2019-11-13 00:00:00","monoc_jug",341
"506","2019-11-13 01:00:00","monoc_jug",341
"507","2019-11-13 02:00:00","monoc_jug",341
"508","2019-11-13 03:00:00","monoc_jug",337
"509","2019-11-13 04:00:00","monoc_jug",337
"510","2019-11-13 05:00:00","monoc_jug",337
"511","2019-11-13 06:00:00","monoc_jug",333
"512","2019-11-13 07:00:00","monoc_jug",333
"513","2019-11-13 08:00:00","monoc_jug",333
"514","2019-11-13 09:00:00","monoc_jug",330
"515","2019-11-13 10:00:00","monoc_jug",333
"516","2019-11-13 11:00:00","monoc_jug",333
"517","2019-11-13 12:00:00","monoc_jug",333
"518","2019-11-13 13:00:00","monoc_jug",333
"519","2019-11-13 14:00:00","monoc_jug",333
"520","2019-11-13 15:00:00","monoc_jug",330
"521","2019-11-13 16:00:00","monoc_jug",333
"522","2019-11-13 17:00:00","monoc_jug",333
"523","2019-11-13 18:00:00","monoc_jug",333
"524","2019-11-13 19:00:00","monoc_jug",333
"525","2019-11-13 20:00:00","monoc_jug",337
"526","2019-11-13 21:00:00","monoc_jug",337
"527","2019-11-13 22:00:00","monoc_jug",333
"528","2019-11-13 23:00:00","monoc_jug",333
"529","2019-11-14 00:00:00","monoc_jug",333
"530","2019-11-14 01:00:00","monoc_jug",330
"531","2019-11-14 02:00:00","monoc_jug",330
"532","2019-11-14 03:00:00","monoc_jug",326
"533","2019-11-14 04:00:00","monoc_jug",326
"534","2019-11-14 05:00:00","monoc_jug",323
"535","2019-11-14 06:00:00","monoc_jug",323
"536","2019-11-14 07:00:00","monoc_jug",319
"537","2019-11-14 08:00:00","monoc_jug",319
"538","2019-11-14 09:00:00","monoc_jug",319
"539","2019-11-14 10:00:00","monoc_jug",316
"540","2019-11-14 11:00:00","monoc_jug",319
"541","2019-11-14 12:00:00","monoc_jug",316
"542","2019-11-14 13:00:00","monoc_jug",316
"543","2019-11-14 14:00:00","monoc_jug",319
"544","2019-11-14 15:00:00","monoc_jug",NA
"545","2019-11-09 00:00:00","por",3800
"546","2019-11-09 01:00:00","por",3800
"547","2019-11-09 02:00:00","por",3770
"548","2019-11-09 03:00:00","por",3740
"549","2019-11-09 04:00:00","por",3740
"550","2019-11-09 05:00:00","por",3710
"551","2019-11-09 06:00:00","por",3710
"552","2019-11-09 07:00:00","por",3680
"553","2019-11-09 08:00:00","por",3630
"554","2019-11-09 09:00:00","por",3540
"555","2019-11-09 10:00:00","por",3490
"556","2019-11-09 11:00:00","por",3410
"557","2019-11-09 12:00:00","por",3410
"558","2019-11-09 13:00:00","por",3430
"559","2019-11-09 14:00:00","por",3430
"560","2019-11-09 15:00:00","por",3490
"561","2019-11-09 16:00:00","por",3540
"562","2019-11-09 17:00:00","por",3540
"563","2019-11-09 18:00:00","por",3540
"564","2019-11-09 19:00:00","por",3490
"565","2019-11-09 20:00:00","por",3430
"566","2019-11-09 21:00:00","por",3410
"567","2019-11-09 22:00:00","por",3430
"568","2019-11-09 23:00:00","por",3460
"569","2019-11-10 00:00:00","por",3490
"570","2019-11-10 01:00:00","por",3520
"571","2019-11-10 02:00:00","por",3520
"572","2019-11-10 03:00:00","por",3490
"573","2019-11-10 04:00:00","por",3460
"574","2019-11-10 05:00:00","por",3460
"575","2019-11-10 06:00:00","por",3460
"576","2019-11-10 07:00:00","por",3410
"577","2019-11-10 08:00:00","por",3380
"578","2019-11-10 09:00:00","por",3300
"579","2019-11-10 10:00:00","por",3240
"580","2019-11-10 11:00:00","por",3190
"581","2019-11-10 12:00:00","por",3130
"582","2019-11-10 13:00:00","por",3110
"583","2019-11-10 14:00:00","por",3080
"584","2019-11-10 15:00:00","por",3110
"585","2019-11-10 16:00:00","por",3130
"586","2019-11-10 17:00:00","por",3190
"587","2019-11-10 18:00:00","por",3220
